close,datetime,high,low,open,volume
3744.217,2019/5/29 11:24,3746.022,3741.541,3742.531,32360
3744.383,2019/5/29 11:29,3748.136,3743.526,3745.266,29840
3740.07,2019/5/29 13:34,3744.565,3735.916,3737.148,102136
3734.535,2019/5/29 13:39,3743.727,3732.609,3738.025,90710
3737.125,2019/5/29 13:44,3739.215,3734.345,3738.355,40852
3735.584,2019/5/29 13:49,3739.208,3735.153,3738.02,30614
3731.085,2019/5/29 13:54,3736.34,3729.722,3732.46,69906
3730.205,2019/5/29 13:59,3736.509,3729.159,3732.901,56552
3726.527,2019/5/29 14:04,3733.642,3724.731,3728.163,100474
3732.976,2019/5/29 14:09,3733.03,3724.537,3730.034,54968
3740.869,2019/5/29 14:14,3741.055,3731.926,3739.499,78858
3738.19,2019/5/29 14:19,3746.75,3737.435,3740.298,119902
3738.617,2019/5/29 14:24,3740.305,3737.44,3739.42,31552
3739.991,2019/5/29 14:29,3742.09,3738.304,3740.105,26494
3735.671,2019/5/29 14:34,3741.039,3735.431,3737.543,31664
3740.854,2019/5/29 14:39,3742.781,3734.678,3739.398,38712
3740.983,2019/5/29 14:44,3744.722,3739.001,3740.044,49886
3742.502,2019/5/29 14:49,3742.856,3739.846,3741.002,20340
3746.663,2019/5/29 14:54,3751.462,3740.994,3747.842,98186
3751.085,2019/5/29 14:59,3752.271,3744.566,3750.585,89136
3744.828,2019/5/29 21:04,3750.576,3742.48,3744.309,116966
3753.319,2019/5/29 21:09,3754.787,3745.402,3754.056,102354
3753.76,2019/5/29 21:14,3754.445,3750.1,3751.475,44790
3748.22,2019/5/29 21:19,3753.949,3746.484,3747.613,47264
3749.33,2019/5/29 21:24,3753.206,3746.468,3748.015,30722
3750.317,2019/5/29 21:29,3750.38,3746.339,3749.383,23376
3744.733,2019/5/29 21:34,3750.38,3743.607,3747.457,32044
3740.046,2019/5/29 21:39,3745.651,3737.917,3741.397,86414
3740.394,2019/5/29 21:44,3741.771,3737.915,3739.044,38014
3737.854,2019/5/29 21:49,3740.406,3733.372,3733.947,76930
3736.673,2019/5/29 21:54,3739.651,3734.995,3737.664,40344
3737.665,2019/5/29 21:59,3740.392,3734.745,3739.592,26620
3740.392,2019/5/29 22:04,3740.583,3734.992,3739.536,22966
3738.355,2019/5/29 22:09,3742.321,3736.677,3738.355,30992
3736.663,2019/5/29 22:14,3738.609,3734.939,3735.92,20612
3737.798,2019/5/29 22:19,3740.083,3733.938,3739.284,28638
3735.743,2019/5/29 22:24,3739.546,3735.687,3735.934,10704
3740.474,2019/5/29 22:29,3740.474,3735.743,3738.605,11994
3740.78,2019/5/29 22:34,3743.453,3738.663,3741.715,35542
3737.676,2019/5/29 22:39,3741.463,3737.563,3738.858,15942
3739.608,2019/5/29 22:44,3740.543,3737.673,3740.543,6888
3739.55,2019/5/29 22:49,3740.597,3736.881,3738.615,16524
3739.496,2019/5/29 22:54,3740.734,3737.625,3739.057,13518
3737.54,2019/5/29 22:59,3740.185,3736.82,3738.699,27808
3744.206,2019/5/30 9:04,3747.385,3738.618,3747.135,65504
3747.655,2019/5/30 9:09,3747.903,3743.218,3744.298,37846
3750.468,2019/5/30 9:14,3752.449,3746.031,3750.466,65336
3751.248,2019/5/30 9:19,3752.183,3747.531,3751.44,44644
3751.201,2019/5/30 9:24,3754.12,3750.084,3751.201,60548
3756.81,2019/5/30 9:29,3758.546,3750.953,3753.695,68656
3749.281,2019/5/30 9:34,3758.543,3749.281,3751.211,51796
3752.015,2019/5/30 9:39,3753.338,3749.23,3750.473,21142
3752.159,2019/5/30 9:44,3754.886,3750.538,3752.904,23746
3749.982,2019/5/30 9:49,3753.835,3748.112,3749.295,19726
3747.307,2019/5/30 9:54,3751.165,3746.373,3749.48,15970
3748.599,2019/5/30 9:59,3750.228,3744.246,3746.921,41026
3745.131,2019/5/30 10:04,3749.595,3744.748,3748.543,25086
3748.599,2019/5/30 10:09,3750.085,3744.94,3748.155,21634
3746.365,2019/5/30 10:14,3750.277,3745.122,3745.926,16804
3746.135,2019/5/30 10:34,3748.955,3745.198,3746.397,10826
3750.131,2019/5/30 10:39,3751.068,3745.007,3748.778,18634
3750.307,2019/5/30 10:44,3751.982,3748.384,3750.114,18984
3748.273,2019/5/30 10:49,3752.126,3748.271,3751.934,21692
3751.051,2019/5/30 10:54,3752.236,3745.85,3751.053,34668
3724.245,2019/5/30 10:59,3751.187,3721.927,3726.899,292492
3724.595,2019/5/30 11:04,3729.256,3718.734,3723.66,177090
